producer,nation,local1,local2,local3,local4,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,type
Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Carmenere,Merlot,,,,Red
Altair,Chile,Rapel Valley,,,,Cabernet Sauvignon,Merlot,Carmenere,Cabernet Franc,Syrah & Shiraz,Petit Verdot,Red
Baron du Val,France,,,,,Carignan,Cinsault,Syrah & Shiraz,Grenache Noir,,,Red
Baron du Val,France,,,,,Carignan,Ugni​ blanc,Grenache Blanc,Picpoul,,,White
Benziger,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Calvet,France,Bourgogne,Beaujolais,,,Gamay,,,,,,Red
Calvet,France,Bordeaux,,,,Merlot,,,,,,Red
Calvet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,Red
Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Muscadet,,,,White
Calvet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,Red
Calvet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,Red
Calvet,France,Bordeaux,,,,Sauvignon blanc,Semillon,Etc,,,,White
Calvet,France,Bordeaux,Premieres Cotes de Bordeaux,,,Semillon,Sauvignon blanc,Muscadet,,,,White
Calvet,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,Red
Calvet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Calvet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,,,,,Red
Caviro scaForli,Italy,EmiliaRomagna,,,,Lambrusco,,,,,,Rose
Caviro scaForli,Italy,EmiliaRomagna,,,,Etc,,,,,,White
Chateau Angelus 1st Grand Cru ClasseA,France,Bordeaux,SaintEmilion Grand Cru,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Chateau Brillette,France,Bordeaux,Moulis,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,Red
Chateau Camensac Grand Cru Classe5th Cru,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,,,,,Red
Chateau Chasse Spleen,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau de Seguin,France,Bordeaux,Bordeaux Superieur,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau DurfortVivens Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Giscours Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Chateau Lynch Bages Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,Red
Chateau HautBrion 1st Grand Cru Classe,France,Bordeaux,PessacLeognan,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Chateau La Gurgue,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,,,,,Red
Chateau Mouton Rothschild 1st Grand Cru Classe,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Tour de Loudenne,France,Bordeaux,Medoc,,,,,,,,,
Chateau Tour de Saint Bonnet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Malbec,Petit Verdot,,,Red
Concha y Toro,Chile,Rapel Valley,Cachapoal Valley,Peumo,,Carmenere,Cabernet Sauvignon,Cabernet Franc,,,,Red
Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,Merlot,,,,,Red
Concha y Toro,Chile,Central Valley,,,,Carmenere,Cabernet Sauvignon,,,,,Red
Concha y Toro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
Concha y Toro,Chile,Central Valley,,,,Carmenere,,,,,,Red
Concha y Toro,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,Cabernet Franc,,,,Red
Concha y Toro,Chile,Rapel Valley,,,,Carmenere,Cabernet Sauvignon,Petit Verdot,Cabernet Franc,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Concord,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sierra Foothills,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Merlot,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,Fortified
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Blend,,,,,,Sparkling
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Zinfandel,,,,,,Rose
Gallo Family Vineyard  EJ Gallo Winery,USA,California,,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sierra Foothills,,,Cabernet Sauvignon,,,,,,Red
Frei Brothers,USA,California,Sonoma County,Alexander Valley,,Cabernet Sauvignon,Petite Sirah,Merlot,,,,Red
Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Chardonnay,,,,,,White
Frei Brothers,USA,California,Sonoma County,Russian River Valley,,Pinot Noir,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Chardonnay,,,,,,White
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Merlot,Cabernet Sauvignon,Etc,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Pinot Noir,Zinfandel,,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Zinfandel,Syrah & Shiraz,Petite Sirah,,,,Red
Gallo Family Vineyard  EJ Gallo Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,Red
Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,Red
Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,Red
Maison Ginestet,France,Bordeaux,,,,Semillon,Sauvignon blanc,,,,,White
Maison Ginestet,France,Bordeaux,,,,Semillon,Sauvignon blanc,,,,,White
Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,Red
Maison Ginestet,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,,,,,Red
Maison Ginestet,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,Petit Verdot,,,Red
Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,Red
Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,Red
Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,Red
Maison Ginestet,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,Red
Chateau HautBagesLiberal Grand Cru Classe5th Cru,France,Bordeaux,Pauillac,,,Cabernet Sauvignon,Merlot,,,,,Red
Maison Ginestet,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,Red
Maison Ginestet,France,Bordeaux,PuisseguinSaintEmilion,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,Red
Maison Ginestet,France,Bordeaux,Saint Estephe,,,Cabernet Sauvignon,Merlot,,,,,Red
Maison Ginestet,France,Bordeaux,Sauternes,,,Semillon,Sauvignon blanc,Muscadet,,,,White
Maison Ginestet,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,Red
Maison Ginestet,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,Red
Henri Lavigne,France,Ugni blanc,,,,,,,,,,Sparkling
Jean Berteau,France,Rhone,ChateauneufduPape,,,Grenache,Syrah & Shiraz,mourvedre,,,,Red
Jean Berteau,France,Rhone,Cotes du Rhone,,,Syrah & Shiraz,Grenache,mourvedre,,,,Red
Jean Berteau,France,Rhone,Cotes du Rhone,,,Viognier,Grenache Blanc,Rousaanne,Marsanne,,,White
Jean Berteau,France,Rhone,Cotes du Rhone,,,Syrah & Shiraz,Grenache,mourvedre,,,,Red
Jean Luc Colombo,France,Rhone,ChateauneufduPape,,,Syrah & Shiraz,Grenache,mourvedre,,,,Red
Jean Luc Colombo,France,Rhone,Cornas,,,Syrah & Shiraz,,,,,,Red
Jean Luc Colombo,France,Rhone,,,,Syrah & Shiraz,Viognier,,,,,Red
Jean Luc Colombo,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,mourvedre,,,,Red
Jean Luc Colombo,France,Rhone,Cotes du Rhone,,,Clairette,Rousaanne,,,,,White
Jean Luc Colombo,France,Rhone,CrozesHermitage,,,Marsanne,Rousaanne,,,,,White
Jean Luc Colombo,France,Rhone,CrozesHermitage,,,Syrah & Shiraz,,,,,,Red
Jean Luc Colombo,France,Rhone,Hermitage,,,Syrah & Shiraz,Marsanne,,,,,Red
Jean Luc Colombo,France,Rhone,,,,Syrah & Shiraz,,,,,,Red
Jean Luc Colombo,France,Rhone,SaintJoseph,,,Syrah & Shiraz,,,,,,Red
Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,White
Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,White
Jean Moreau  Fils,France,Bourgogne,Chablis,,,Chardonnay,,,,,,White
Jean Moreau  Fils,France,Loire,Central Loire,Sancerre,,Sauvignon blanc,,,,,,White
Jordan Vineyard  Winery,USA,California,,,,Cabernet Sauvignon,Merlot,,,,,Red
Jordan Vineyard  Winery,USA,California,Sonoma County,Russian River Valley,,Chardonnay,,,,,,White
Langguth  Blue nun,France,Southern France,Languedoc Roussillon,,,Cabernet Sauvignon,,,,,,Red
Langguth  Blue nun,Germany,Pfalz,,,,Dornfelder,,,,,,Red
Langguth  Blue nun,Germany,Rheinhessen,,,,Riesling,,,,,,White
Langguth  Blue nun,Germany,Rheinhessen,,,,Trebbiano,Riesling,,,,,Sparkling
Langguth  Blue nun,France,Southern France,Languedoc Roussillon,,,Merlot,,,,,,Red
Langguth  Blue nun,Germany,Rheinhessen,,,,Rivaner,,,,,,White
Langguth  Blue nun,Germany,MoselSaarRuwer,,,,Riesling,,,,,,White
Langguth  Blue nun,Germany,Rheinhessen,,,,Silvaner,Muller Thurgau,,,,,White
Langguth  Blue nun,Spain,Valencia,,,,Tempranillo,Grenache,,,,,Rose
Lawsons Dry Hills,New Zealand,South Island,Marlborough,,,Pinot Noir,,,,,,Red
Lawsons Dry Hills,New Zealand,South Island,Marlborough,,,Sauvignon blanc,,,,,,White
Lawsons Dry Hills,New Zealand,South Island,Marlborough,,,Sauvignon blanc,,,,,,White
Lindemans,Australia,South Australia,Coonawarra,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Lindemans,Australia,South Australia,,,,Cabernet Sauvignon,,,,,,Red
Lindemans,Australia,South Australia,,,,Syrah & Shiraz,,,,,,Red
Lindemans,Australia,South Australia,,,,Chardonnay,,,,,,White
Lindemans,Australia,South Australia,,,,Semillon,Chardonnay,,,,,White
Lindemans,Australia,South Australia,,,,Syrah & Shiraz,Cabernet Sauvignon,,,,,Red
Lindemans,Australia,South Australia,,,,Cabernet Sauvignon,Merlot,,,,,Red
Lindemans,Australia,South Australia,,,,Cabernet Sauvignon,,,,,,Red
Lindemans,Australia,South Australia,Padthaway,,,Chardonnay,,,,,,White
Lindemans,Australia,South Australia,,,,Syrah & Shiraz,,,,,,Red
Lindemans,Australia,South Australia,,,,Pinot Noir,Chardonnay,Pinot Meunier,,,,Sparkling
Lindemans,Australia,South Australia,,,,Chardonnay,,,,,,White
Lindemans,Australia,South Australia,,,,Syrah & Shiraz,Cabernet Sauvignon,,,,,Red
Marques de Caceres,Spain,Rioja,,,,Viura,,,,,,White
Marques de Caceres,Spain,Rioja,,,,Tempranillo,Graciano,Garnacha,,,,Red
Marques de Caceres,Spain,Rioja,,,,Tempranillo,Graciano,Garnacha,,,,Red
Marques de Caceres,Spain,Rioja,,,,Tempranillo,Graciano,Garnacha,,,,Red
Marques de Caceres,Spain,Rioja,,,,Tempranillo,Graciano,Garnacha,,,,Red
Marques de Caceres,Spain,Rioja,,,,Tempranillo,,,,,,Red
Marques de Caceres,Spain,Rioja,,,,Viura,Malvasia,,,,,White
Matua,New Zealand,South Island,Marlborough,,,Pinot Noir,,,,,,Red
Matua,New Zealand,South Island,Marlborough,,,Sauvignon blanc,,,,,,White
McWilliams Wines,Australia,South Australia,,,,Cabernet Sauvignon,Merlot,,,,,Red
McWilliams Wines,Australia,South Australia,,,,Syrah & Shiraz,Cabernet Sauvignon,,,,,Red
McWilliams Wines,Australia,South Australia,,,,Cabernet Sauvignon,,,,,,Red
McWilliams Wines,Australia,South Australia,,,,Chardonnay,,,,,,White
McWilliams Wines,Australia,South Australia,,,,Syrah & Shiraz,,,,,,Red
Pol Roger,France,Champagne,,,,Chardonnay,Pinot Noir,Pinot Meunier,,,,Sparkling
Pol Roger,France,Champagne,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Pol Roger,France,Champagne,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Pol Roger,France,Champagne,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Calvet,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,,,,,Red
Calvet,France,Bordeaux,,,,Chardonnay,Semillon,,,,,White
Vieux Chateau du Terme,France,Bordeaux,HautMedoc,,,Cabernet Sauvignon,Merlot,Petit Verdot,Malbec,,,Red
Rocca Cerrina,Italy,Piemonte,Asti,,,Moscato,,,,,,White
Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Cabernet Sauvignon,Merlot,,,,Red
Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Etc,,,,,Red
Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Cabernet Sauvignon,Merlot,,,,Red
Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Merlot,Cabernet Sauvignon,,,,Red
Ruffino,Italy,Toscana,Chianti,,,Sangiovese,Merlot,Cabernet Sauvignon,,,,Red
Ruffino,Italy,Toscana,Chianti,,,Sangiovese,,,,,,Red
Ruffino,Italy,Toscana,Montalcino,,,Sangiovese Grosso,,,,,,Red
Ruffino,Italy,Toscana,Montepulciano,,,Sangiovese,Merlot,,,,,Red
Ruffino,Italy,Umbria,Orvieto,,,Procanico,Grechetto Bianco,Verdelho,Canaiolo Bianco,,,White
Ruffino,Italy,Toscana,,,,Sangiovese,Merlot,,,,,Red
Ruffino,Italy,Toscana,,,,Sangiovese,Merlot,Etc,,,,Red
Ruffino,Italy,Toscana,,,,Sangiovese,Cabernet Sauvignon,Merlot,,,,Red
Ruffino,Italy,Toscana,,,,Colorino,Merlot,,,,,Red
San Pedro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
San Pedro,Chile,Central Valley,,,,Merlot,,,,,,Red
San Pedro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
San Pedro,Chile,Central Valley,,,,Merlot,,,,,,Red
San Pedro,Chile,Rapel Valley,,,,Cabernet Sauvignon,,,,,,Red
San Pedro,Chile,Rapel Valley,,,,Cabernet Sauvignon,,,,,,Red
San Pedro,Chile,Maule Valley,,,,Carmenere,,,,,,Red
San Pedro,Chile,Curico Valley,Lontue Valley,,,Chardonnay,,,,,,White
San Pedro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
San Pedro,Chile,Central Valley,,,,Carmenere,,,,,,Red
San Pedro,Chile,Central Valley,,,,Chardonnay,,,,,,White
San Pedro,Chile,Central Valley,,,,Sauvignon blanc,,,,,,White
San Pedro,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
San Pedro,Chile,Curico Valley,Lontue Valley,,,Riesling,,,,,,White
San Pedro,Chile,Central Valley,,,,Carmenere,,,,,,Red
San Pedro,Chile,Maipo Valley,,,,Cabernet Sauvignon,,,,,,Red
Santa Margherita,Italy,Toscana,,,,Sangiovese,Etc,,,,,Red
Santa Margherita,Italy,TrentinoAlto Adige,,,,Pinot Grigio,,,,,,White
Santa Margherita,Italy,Veneto,,,,Prosecco,,,,,,Sparkling
Santa Margherita,Italy,Veneto,,,,Merlot,,,,,,Red
Santa Margherita,Italy,Sicilia,,,,Chardonnay,,,,,,White
Santa Margherita,Italy,Sicilia,,,,Syrah & Shiraz,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Merlot,Malbec,,,,,Red
Trapiche,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Malbec,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Malbec,Cabernet Franc,,,,,Red
Trapiche,Argentina,Mendoza,Uco Valley,,,Cabernet Sauvignon,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Chardonnay,,,,,,White
Trapiche,Argentina,Mendoza,,,,Malbec,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Malbec,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Cabernet Sauvignon,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Malbec,,,,,,Red
Trapiche,Argentina,Mendoza,,,,Merlot,,,,,,Red
Yellow Glen,Australia,South Australia,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Yellow Glen,Australia,South Australia,,,,Pinot Noir,Chardonnay,,,,,Sparkling
Chateau CantenacBrown Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Brane Cantenac  Grand Cru Classe2nd Cru,France,Bordeaux,Margaux,,,Merlot,Cabernet Sauvignon,Cabernet Franc,,,,Red
Chateau Ferriere Grand Cru Classe3rd Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Petit Verdot,,,,Red
Chateau Brillette,France,Bordeaux,,,,Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot,,,Red
La Fleur de Bouard,France,Bordeaux,Lalande de Pomerol,,,Merlot,Cabernet Franc,Cabernet Sauvignon,,,,Red
Almaden Vineyards,USA,California,,,,Blend,,,,,,Red
Almaden Vineyards,USA,California,,,,Blend,,,,,,Etc
Almaden Vineyards,USA,California,,,,Blend,,,,,,White
Almaden Vineyards,USA,California,,,,Zinfandel,,,,,,Rose
Andre Lurton,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Andre Quancard Andre,France,Bordeaux,,,,,,,,,,
Andre Quancard Andre,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,,,,,Red
Andre Quancard Andre,France,Bordeaux,Bordeaux Superieur,,,Cabernet Franc,Cabernet Sauvignon,Merlot,,,,Red
Chateau Bellegrave,France,Bordeaux,Medoc,,,Merlot,Cabernet Sauvignon,Petit Verdot,,,,Red
Andre Quancard Andre,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,,,,,Red
Andre Quancard Andre,France,Bordeaux,Medoc,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Andre Quancard Andre,France,Bordeaux,SaintEmilion,,,Merlot,Cabernet Sauvignon,,,,,Red
Andre Quancard Andre,France,Bordeaux,,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Andre Quancard Andre,France,Bordeaux,PuisseguinSaintEmilion,,,Cabernet Sauvignon,Merlot,,,,,Red
Blanquette de Limoux Antech,France,,,,,Mauzac,,,,,,Red
Blanquette de Limoux Antech,France,,,,,Mauzac,,,,,,Red
Antonin Rodet,France,Bourgogne,Chablis,,,Chardonnay,,,,,,White
Antonin Rodet,France,Bourgogne,Chablis,,,Chardonnay,,,,,,White
Chateau de Mercey,France,Bourgogne,Cote Chalonnaise,Mercurey,,Pinot Noir,,,,,,Red
Chateau de Rully,France,Bourgogne,Cote Chalonnaise,Rully,,Pinot Noir,,,,,,Red
Antonin Rodet,France,Bourgogne,Cote de Beaune,AloxeCorton,,Pinot Noir,,,,,,Red
Antonin Rodet,France,Bourgogne,Cote de Beaune,,,Chardonnay,,,,,,White
Antonin Rodet,France,Bourgogne,Cote de Beaune,Pommard,,Pinot Noir,,,,,,Red
Antonin Rodet,France,Bourgogne,Cote de Beaune,PulignyMontrachet,,Chardonnay,,,,,,White
Antonin Rodet,France,Bourgogne,Cote de Nuits,Chambolle Musigny,,Pinot Noir,,,,,,Red
Antonin Rodet,France,Bourgogne,Cote de Nuits,GevreyChambertin,,Pinot Noir,,,,,,Red
Antonin Rodet,France,Bourgogne,Cote de Nuits,NuitsStGeorges,,Pinot Noir,,,,,,Red
Antonin Rodet,France,Rhone,Cotes du Rhone,,,Grenache,Syrah & Shiraz,mourvedre,,,,Red
Antonin Rodet,France,Bourgogne,Maconnais,MaconVillages,,Chardonnay,,,,,,White
Antonin Rodet,France,Bourgogne,Maconnais,PouillyFuisse,,Chardonnay,,,,,,White
Antonin Rodet,France,Bourgogne,,,,Pinot Noir,,,,,,Red
BR Cohn Winery,USA,California,Napa County,Napa Valley,,Chardonnay,,,,,,White
BR Cohn Winery,USA,California,Sonoma County,,,Cabernet Sauvignon,,,,,,Red
BR Cohn Winery,USA,California,Sonoma County,Sonoma Valley,,Merlot,,,,,,Red
BR Cohn Winery,USA,California,Sonoma County,Sonoma Valley,,Cabernet Sauvignon,,,,,,Red
Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Alba,,,Nebbiolo,,,,,,Red
Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Asti,,,Moscato,,,,,,Sparkling
Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Asti,,,Barbera,,,,,,Red
Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Asti,,,Moscato,,,,,,White
Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Barbaresco,,,Nebbiolo,,,,,,Red
Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,Barolo,,,Nebbiolo,,,,,,Red
Capetta Francesco Capetta  Balbi Soprani,Italy,Piemonte,,,,Brachetto,,,,,,Sparkling
Brotte,France,Rhone,ChateauneufduPape,,,Grenache,Syrah & Shiraz,mourvedre,Cinsault,Etc,,Red
Chateau Pouget Grand Cru Classe4th Cru,France,Bordeaux,Margaux,,,Cabernet Sauvignon,Merlot,Cabernet Franc,,,,Red
Chateau Cadet Piola,France,Bordeaux,SaintEmilion Grand Cru,,,Bordeaux Blend Red,,,,,,Red
Chateau Ciceron,France,Southern France,Languedoc Roussillon,Corbieres,,Syrah & Shiraz,Grenache,mourvedre,Carignan,Cinsault,,Red
Chateau de Toulet,France,Bordeaux,,,,Bordeaux Blend Red,,,,,,Red
Chateau La Croix de Gay,France,Bordeaux,Pomerol,,,,,,,,,
Chateau de Serame,France,Cabernet Sauvignon,,,,,,,,,,Red
Chateau de Serame,France,,,,,Chardonnay,,,,,,White
Chateau de Serame,France,,,,,Merlot,,,,,,Red
Chateau Tour Haut Vignoble,France,Bordeaux,Saint Estephe,,,Bordeaux Blend Red,,,,,,Red
Chiarli  Cleto Chiarli,Italy,,,,,Lambrusco,,,,,,White
Chiarli  Cleto Chiarli,Italy,,,,,Lambrusco,,,,,,Red
Citra,Italy,,,,,Merlot,,,,,,Red
Citra,Italy,Abruzzo,,,,Montepulciano,,,,,,Red
Citra,Italy,Abruzzo,,,,Sangiovese,,,,,,Red
Citra,Italy,Abruzzo,,,,Trebbiano,,,,,,White
Citra,Italy,Abruzzo,,,,Montepulciano,,,,,,Red
Citra,Italy,Abruzzo,,,,Trebbiano,,,,,,White
Citra,Italy,Abruzzo,,,,Chardonnay,,,,,,White
Citra,Italy,Abruzzo,,,,Montepulciano,,,,,,Red
Agustinos,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,Red
Agustinos,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,Red
Agustinos,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,Red
Porta Winery,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,Red
Porta Winery,Chile,Aconcagua,Aconcagua Valley,,,Cabernet Sauvignon,,,,,,Red
Agustinos,Chile,Southern Region,BioBioValley,,,Malbec,,,,,,Red
Agustinos,Chile,Southern Region,BioBioValley,,,Sauvignon blanc,,,,,,White
Agustinos,Chile,Southern Region,BioBioValley,,,Pinot Noir,,,,,,Red
Porta Winery,Chile,Southern Region,BioBioValley,,,Pinot Noir,,,,,,Red
Porta Winery,Chile,Southern Region,BioBioValley,,,Pinot Noir,,,,,,Red
Porta Winery,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
Porta Winery,Chile,Central Valley,,,,Cabernet Sauvignon,,,,,,Red
Porta Winery,Chile,Curico Valley,,,,Chardonnay,,,,,,White
Porta Winery,Chile,Curico Valley,,,,Sauvignon blanc,,,,,,White
Porta Winery,Chile,Curico Valley,,,,Sauvignon blanc,,,,,,White
Agustinos,Chile,Maipo Valley,,,,Carmenere,,,,,,Red
Porta Winery,Chile,Maipo Valley,,,,Merlot,,,,,,Red
Porta Winery,Chile,Maipo Valley,,,,Cabernet Sauvignon,Carmenere,,,,,Red
Porta Winery,Chile,Maipo Valley,,,,Carmenere,,,,,,Red
Agustinos,Chile,Rapel Valley,,,,Cabernet Sauvignon,Carmenere,,,,,Red
Porta Winery,Chile,Rapel Valley,,,,Syrah & Shiraz,Merlot,,,,,Red
Porta Winery,Chile,Rapel Valley,,,,Merlot,,,,,,Red
Craggy Range,New Zealand,North Island,Hawkes Bay,,,Merlot,Cabernet Franc,Cabernet Sauvignon,Malbec,,,Red
Craggy Range,New Zealand,North Island,Wairarapa,Martinborough,,Sauvignon blanc,,,,,,White
Del Fin Del Mundo,Argentina,,,,,Malbec,,,,,,Red
Del Fin Del Mundo,Argentina,,,,,Merlot,,,,,,Red
Del Fin Del Mundo,Argentina,Pinot Noir,,,,,,,,,,Red
Domaine Jacques Prieur,France,Bourgogne,Cote de Beaune,Beaune,,Pinot Noir,,,,,,Red
